Date,Close/Last,Volume,Open,High,Low
09/08/2022,$54.33,3655923,$53.56,$54.56,$53.20
09/07/2022,$53.70,4000601,$51.87,$53.91,$51.87
09/06/2022,$52.36,4142747,$52.81,$53.37,$51.64
09/02/2022,$52.41,3702008,$53.08,$53.735,$52.025
09/01/2022,$52.34,3998557,$51.55,$52.40,$51.11
08/31/2022,$51.75,5946560,$52.64,$52.86,$51.70
08/30/2022,$52.39,2786980,$52.99,$53.02,$52.04
08/29/2022,$52.80,3082530,$52.61,$53.305,$52.16
08/26/2022,$53.00,5647901,$55.50,$55.62,$52.95
08/25/2022,$55.26,2507703,$54.50,$55.29,$54.205
08/24/2022,$54.32,2055865,$54.01,$54.50,$53.715
08/23/2022,$54.27,3682108,$54.09,$54.64,$54.05
08/22/2022,$54.04,3734956,$55.27,$55.305,$54.01
08/19/2022,$56.10,3783040,$56.97,$57.095,$55.94
08/18/2022,$57.33,2064737,$56.85,$57.505,$56.75
08/17/2022,$56.69,3090117,$56.50,$57.05,$56.18
08/16/2022,$57.29,3992026,$56.59,$57.46,$56.4864
08/15/2022,$56.76,3152703,$56.48,$57.16,$56.26
08/12/2022,$57.41,4318141,$56.30,$57.44,$56.30
08/11/2022,$56.33,3986268,$55.62,$56.47,$55.62
08/10/2022,$54.92,4742200,$54.30,$55.05,$54.30
08/09/2022,$53.55,4988438,$52.81,$53.77,$52.45
08/08/2022,$52.27,4624219,$52.40,$52.89,$52.10
08/05/2022,$51.83,3359224,$51.07,$51.97,$50.92
08/04/2022,$51.12,3422476,$51.45,$51.86,$51.06
08/03/2022,$51.58,3495423,$51.10,$51.74,$50.73
08/02/2022,$50.71,4977070,$50.96,$51.67,$50.64
08/01/2022,$51.04,4589565,$51.25,$51.61,$50.82
07/29/2022,$51.77,6882498,$50.65,$51.95,$50.65
07/28/2022,$50.49,8878597,$52.52,$52.73,$50.19
07/27/2022,$52.52,2676353,$52.11,$52.80,$51.62
07/26/2022,$51.73,2729263,$51.77,$52.4096,$51.33
07/25/2022,$52.05,3390339,$51.77,$52.43,$51.38
07/22/2022,$51.33,3051737,$51.74,$52.37,$50.85
07/21/2022,$51.63,2740520,$51.28,$51.65,$50.7231
07/20/2022,$51.52,3556160,$51.39,$51.91,$51.015
07/19/2022,$51.74,3350027,$50.74,$52.095,$50.71
07/18/2022,$49.89,3431014,$50.64,$51.39,$49.655
07/15/2022,$50.08,4393220,$49.33,$50.53,$48.75
07/14/2022,$48.42,5263842,$49.09,$49.46,$48.395
07/13/2022,$50.66,4195383,$50.45,$51.04,$49.98
07/12/2022,$51.12,3686485,$50.99,$52.16,$50.99
07/11/2022,$51.45,3566486,$51.00,$51.87,$50.95
07/08/2022,$51.47,2751965,$52.03,$52.39,$51.36
07/07/2022,$51.79,4695270,$51.79,$52.37,$51.68
07/06/2022,$50.98,3714707,$50.69,$51.34,$50.22
07/05/2022,$51.13,4266242,$50.71,$51.13,$49.65
07/01/2022,$52.02,3363600,$51.10,$52.16,$50.74
06/30/2022,$51.13,4068843,$50.02,$51.50,$49.455
06/29/2022,$50.80,4804654,$52.16,$52.245,$50.73
06/28/2022,$51.81,3495500,$52.69,$53.41,$51.77
06/27/2022,$51.92,4527468,$52.62,$53.09,$51.495
06/24/2022,$52.77,7883278,$50.13,$52.92,$50.02
06/23/2022,$49.60,6695189,$51.20,$51.50,$49.38
